id_student,gender,region,highest_education,imd_band,age_band,disability,studied_credits,num_of_prev_attempts,final_result
31296,M,East Midlands Region,Lower Than A Level,30-40%,0-35,N,60,1,Fail
31600,F,South West Region,A Level or Equivalent,40-50%,0-35,N,60,0,Pass
31604,F,South East Region,A Level or Equivalent,50-60%,35-55,N,60,0,Pass
31663,M,North Region,A Level or Equivalent,30-40%,35-55,N,60,0,Pass
31849,F,South West Region,Lower Than A Level,60-70%,35-55,N,120,0,Pass
32221,M,South Region,A Level or Equivalent,60-70%,0-35,N,60,0,Fail
32239,F,London Region,A Level or Equivalent,30-40%,0-35,N,30,0,Pass
32327,F,South West Region,Lower Than A Level,20-30%,0-35,N,60,2,Withdrawn
32553,M,North Western Region,A Level or Equivalent,60-70%,0-35,N,60,0,Withdrawn
32885,F,West Midlands Region,Lower Than A Level,50-60%,0-35,N,60,0,Pass
32930,F,South Region,A Level or Equivalent,40-50%,35-55,N,60,0,Pass
33387,M,Scotland,HE Qualification,10-20,0-35,N,120,2,Fail
33600,F,London Region,A Level or Equivalent,40-50%,35-55,N,150,1,Withdrawn
33666,F,London Region,A Level or Equivalent,10-20,0-35,N,60,1,Withdrawn
33681,M,South East Region,A Level or Equivalent,50-60%,35-55,Y,60,3,Fail
33796,M,East Anglian Region,Lower Than A Level,80-90%,35-55,N,60,2,Pass
33897,M,West Midlands Region,Lower Than A Level,30-40%,0-35,N,60,1,Withdrawn
33915,F,South East Region,A Level or Equivalent,30-40%,0-35,N,60,0,Distinction
33930,F,South West Region,A Level or Equivalent,20-30%,0-35,N,90,0,Pass
34068,M,Scotland,Lower Than A Level,50-60%,0-35,N,30,0,Withdrawn
34087,M,South East Region,A Level or Equivalent,60-70%,35-55,Y,60,1,Fail
34229,F,Ireland,A Level or Equivalent,0-10%,35-55,N,120,2,Pass
34293,M,West Midlands Region,Lower Than A Level,60-70%,0-35,Y,60,0,Withdrawn
34353,M,Scotland,A Level or Equivalent,70-80%,35-55,Y,120,0,Fail
34431,F,Yorkshire Region,Lower Than A Level,70-80%,0-35,N,60,1,Withdrawn
34653,M,East Midlands Region,Lower Than A Level,30-40%,0-35,N,60,0,Fail
34662,F,South West Region,A Level or Equivalent,60-70%,35-55,N,60,0,Withdrawn
34694,M,West Midlands Region,A Level or Equivalent,10-20,35-55,N,60,1,Withdrawn
34731,M,East Anglian Region,A Level or Equivalent,20-30%,0-35,N,60,0,Withdrawn
34756,F,East Midlands Region,Lower Than A Level,10-20,0-35,N,150,1,Withdrawn
34863,F,London Region,A Level or Equivalent,50-60%,0-35,N,60,0,Pass
35001,F,East Midlands Region,Lower Than A Level,70-80%,35-55,N,30,0,Fail
35340,M,South Region,A Level or Equivalent,50-60%,0-35,N,60,0,Pass
35355,M,Wales,Lower Than A Level,0-10%,35-55,N,30,0,Pass
35502,M,West Midlands Region,HE Qualification,30-40%,0-35,N,60,0,Withdrawn
35508,M,South West Region,A Level or Equivalent,90-100%,0-35,N,30,0,Distinction
35544,M,Wales,A Level or Equivalent,80-90%,35-55,N,60,0,Pass
35747,M,North Western Region,A Level or Equivalent,0-10%,35-55,N,120,0,Withdrawn
35796,M,Wales,A Level or Equivalent,20-30%,0-35,N,60,0,Fail
35812,F,East Anglian Region,Lower Than A Level,30-40%,0-35,N,60,0,Fail
35859,M,North Western Region,A Level or Equivalent,90-100%,0-35,N,60,0,Fail
35860,M,South West Region,A Level or Equivalent,10-20,0-35,N,60,0,Pass
36347,M,North Western Region,Lower Than A Level,10-20,0-35,N,120,0,Pass
36385,M,West Midlands Region,Lower Than A Level,70-80%,0-35,Y,120,1,Withdrawn
36842,M,South Region,Lower Than A Level,40-50%,0-35,N,90,0,Withdrawn
37298,M,Ireland,HE Qualification,Unknown,0-35,N,120,0,Pass
37622,F,Scotland,HE Qualification,80-90%,0-35,N,120,1,Pass
37652,F,London Region,HE Qualification,20-30%,35-55,N,50,0,Distinction
38053,M,Wales,A Level or Equivalent,80-90%,35-55,N,60,0,Pass
38187,F,East Anglian Region,Lower Than A Level,50-60%,0-35,N,30,0,Withdrawn
38234,F,East Midlands Region,A Level or Equivalent,60-70%,0-35,N,60,0,Fail
38711,M,West Midlands Region,Lower Than A Level,0-10%,35-55,Y,60,0,Withdrawn
38941,F,East Midlands Region,A Level or Equivalent,10-20,0-35,N,60,0,Fail
39208,F,Wales,A Level or Equivalent,90-100%,35-55,N,120,0,Pass
39411,F,West Midlands Region,Lower Than A Level,0-10%,0-35,N,60,0,Fail
39427,F,South Region,A Level or Equivalent,90-100%,0-35,N,60,0,Withdrawn
39655,F,Scotland,Lower Than A Level,50-60%,0-35,N,120,0,Distinction
39660,F,North Western Region,Lower Than A Level,0-10%,0-35,N,120,0,Fail
39882,F,Scotland,A Level or Equivalent,80-90%,0-35,N,120,1,Pass
40184,M,Wales,HE Qualification,30-40%,55<=,N,60,0,Distinction
40333,M,North Region,HE Qualification,0-10%,35-55,N,30,0,Withdrawn
40419,M,East Midlands Region,Lower Than A Level,20-30%,35-55,N,60,1,Pass
40508,M,West Midlands Region,A Level or Equivalent,40-50%,35-55,N,90,0,Withdrawn
40563,F,South East Region,A Level or Equivalent,0-10%,0-35,N,60,0,Pass
40604,M,Ireland,A Level or Equivalent,Unknown,35-55,N,30,0,Pass
40857,F,North Western Region,A Level or Equivalent,30-40%,0-35,Y,120,0,Withdrawn
40878,M,North Western Region,Lower Than A Level,0-10%,0-35,N,120,0,Distinction
41060,M,Ireland,HE Qualification,70-80%,0-35,N,60,0,Fail
41414,F,West Midlands Region,Lower Than A Level,0-10%,0-35,Y,30,0,Pass
41489,F,East Anglian Region,Lower Than A Level,20-30%,0-35,N,60,0,Fail
41547,F,Yorkshire Region,A Level or Equivalent,40-50%,0-35,N,60,0,Pass
42552,F,East Anglian Region,A Level or Equivalent,80-90%,0-35,N,90,0,Pass
42616,F,Scotland,Lower Than A Level,80-90%,35-55,N,60,0,Pass
42638,M,Scotland,HE Qualification,90-100%,35-55,N,60,0,Pass
42668,M,London Region,Lower Than A Level,10-20,35-55,N,120,1,Pass
42746,F,South Region,HE Qualification,50-60%,35-55,N,60,0,Distinction
42818,F,East Anglian Region,Lower Than A Level,40-50%,0-35,Y,180,0,Fail
43011,M,North Region,Lower Than A Level,Unknown,0-35,N,60,2,Withdrawn
43273,M,East Midlands Region,HE Qualification,60-70%,35-55,N,90,0,Pass
43284,M,East Midlands Region,Lower Than A Level,80-90%,0-35,N,180,2,Withdrawn
43430,M,South West Region,A Level or Equivalent,50-60%,35-55,N,60,0,Pass
43564,M,Scotland,HE Qualification,80-90%,35-55,N,60,0,Pass
43958,M,Wales,A Level or Equivalent,90-100%,35-55,N,60,1,Fail
45423,M,South West Region,Lower Than A Level,70-80%,35-55,N,60,0,Fail
45462,M,Scotland,HE Qualification,30-40%,0-35,N,60,0,Pass
45642,F,North Western Region,A Level or Equivalent,90-100%,0-35,N,120,0,Pass
45664,M,Yorkshire Region,HE Qualification,60-70%,0-35,N,60,1,Pass
46016,M,North Western Region,Lower Than A Level,40-50%,0-35,N,60,0,Withdrawn
46048,M,East Anglian Region,A Level or Equivalent,80-90%,35-55,N,30,0,Withdrawn
46148,M,North Western Region,A Level or Equivalent,10-20,35-55,N,60,0,Pass
46605,M,East Anglian Region,HE Qualification,60-70%,35-55,N,60,0,Distinction
46633,F,London Region,A Level or Equivalent,0-10%,0-35,N,60,0,Withdrawn
46705,M,Ireland,HE Qualification,Unknown,35-55,N,60,0,Fail
46753,F,East Anglian Region,A Level or Equivalent,60-70%,35-55,N,60,0,Pass
46812,F,North Region,Lower Than A Level,0-10%,0-35,Y,180,1,Withdrawn
46844,M,North Region,HE Qualification,30-40%,35-55,N,60,0,Pass
47061,M,East Midlands Region,A Level or Equivalent,90-100%,0-35,N,30,0,Pass
47063,M,London Region,HE Qualification,40-50%,35-55,N,120,0,Withdrawn
47855,F,Scotland,Lower Than A Level,10-20,35-55,N,300,3,Withdrawn
47861,M,South East Region,A Level or Equivalent,50-60%,0-35,Y,60,0,Pass
47891,F,Wales,Lower Than A Level,10-20,0-35,N,60,4,Fail
47924,M,West Midlands Region,Lower Than A Level,0-10%,35-55,N,60,0,Fail
48040,F,East Midlands Region,A Level or Equivalent,20-30%,35-55,N,120,0,Pass
48152,F,East Anglian Region,A Level or Equivalent,70-80%,0-35,N,120,0,Pass
48503,F,West Midlands Region,Lower Than A Level,10-20,0-35,N,60,0,Pass
48635,M,South Region,HE Qualification,90-100%,0-35,N,120,0,Pass
49095,F,South West Region,HE Qualification,40-50%,0-35,N,150,2,Withdrawn
49119,M,Ireland,HE Qualification,Unknown,0-35,N,90,0,Distinction
49123,M,Yorkshire Region,Lower Than A Level,50-60%,0-35,N,30,0,Pass
49530,M,East Anglian Region,A Level or Equivalent,30-40%,0-35,N,60,1,Withdrawn
49670,M,North Region,A Level or Equivalent,0-10%,0-35,N,60,0,Withdrawn
50069,F,Scotland,A Level or Equivalent,30-40%,0-35,N,90,0,Fail
50263,M,West Midlands Region,HE Qualification,80-90%,35-55,N,60,0,Pass
50309,M,East Midlands Region,Lower Than A Level,10-20,0-35,N,60,1,Withdrawn
50476,F,South West Region,HE Qualification,0-10%,0-35,N,60,0,Distinction
50487,F,East Anglian Region,Lower Than A Level,90-100%,0-35,N,60,1,Pass
50610,F,East Anglian Region,A Level or Equivalent,50-60%,0-35,Y,70,1,Fail
50619,M,North Western Region,A Level or Equivalent,60-70%,0-35,N,60,0,Withdrawn
50993,F,Scotland,Lower Than A Level,0-10%,0-35,Y,60,0,Fail
51030,M,West Midlands Region,A Level or Equivalent,60-70%,0-35,N,60,0,Pass
51033,F,South Region,A Level or Equivalent,80-90%,0-35,N,60,0,Pass
51153,F,East Midlands Region,HE Qualification,30-40%,35-55,N,60,0,Pass
51163,M,London Region,HE Qualification,20-30%,35-55,N,60,0,Pass
51253,F,North Western Region,Lower Than A Level,40-50%,0-35,N,120,0,Withdrawn
51301,F,Wales,Lower Than A Level,30-40%,0-35,Y,60,2,Withdrawn
51485,M,West Midlands Region,Lower Than A Level,10-20,0-35,N,120,0,Distinction
51576,F,London Region,Lower Than A Level,10-20,0-35,N,90,1,Withdrawn
51955,M,Scotland,A Level or Equivalent,80-90%,0-35,Y,60,0,Fail
52014,F,Wales,Lower Than A Level,0-10%,35-55,N,120,2,Fail
52130,F,East Anglian Region,A Level or Equivalent,70-80%,0-35,N,90,0,Pass
52275,M,London Region,No Formal quals,0-10%,0-35,N,90,0,Fail
52426,F,Scotland,Lower Than A Level,70-80%,35-55,N,60,1,Fail
52494,F,South Region,Lower Than A Level,90-100%,0-35,N,240,0,Withdrawn
52702,F,Scotland,Lower Than A Level,20-30%,35-55,N,30,0,Pass
52765,F,Yorkshire Region,Lower Than A Level,0-10%,35-55,N,120,0,Pass
52797,F,South West Region,Lower Than A Level,30-40%,35-55,N,60,1,Pass
52899,F,East Midlands Region,Lower Than A Level,50-60%,35-55,N,90,1,Pass
53025,M,North Region,Post Graduate Qualification,Unknown,55<=,N,60,0,Pass
53136,F,London Region,A Level or Equivalent,30-40%,0-35,N,120,1,Pass
53166,F,North Region,Lower Than A Level,40-50%,0-35,N,60,0,Pass
53197,F,North Western Region,No Formal quals,0-10%,0-35,N,60,0,Fail
53236,F,Yorkshire Region,Lower Than A Level,60-70%,0-35,N,180,1,Withdrawn
53300,M,West Midlands Region,A Level or Equivalent,90-100%,0-35,N,270,0,Distinction
53360,F,North Western Region,Lower Than A Level,10-20,35-55,N,120,1,Withdrawn
53488,F,East Anglian Region,HE Qualification,90-100%,0-35,N,60,0,Pass
53626,M,Scotland,HE Qualification,30-40%,35-55,Y,60,0,Fail
53632,M,Wales,Lower Than A Level,90-100%,0-35,N,60,2,Fail
53709,M,Wales,A Level or Equivalent,30-40%,0-35,N,60,1,Pass
53895,M,North Region,A Level or Equivalent,60-70%,35-55,N,60,1,Withdrawn
54062,M,East Anglian Region,A Level or Equivalent,30-40%,0-35,N,60,0,Distinction
54388,M,East Anglian Region,Lower Than A Level,0-10%,35-55,N,75,3,Withdrawn
54391,M,South West Region,Lower Than A Level,10-20,0-35,N,60,0,Withdrawn
54739,M,Yorkshire Region,Lower Than A Level,Unknown,0-35,N,180,1,Withdrawn
54772,M,South Region,Lower Than A Level,90-100%,0-35,N,60,0,Withdrawn
54810,M,South Region,HE Qualification,40-50%,0-35,N,60,1,Pass
54867,F,South West Region,Lower Than A Level,20-30%,0-35,N,120,0,Fail
54882,M,Scotland,Lower Than A Level,30-40%,0-35,N,60,1,Fail
55013,M,North Region,A Level or Equivalent,10-20,0-35,N,120,0,Fail
55026,F,London Region,A Level or Equivalent,20-30%,35-55,Y,60,0,Pass
55104,F,West Midlands Region,A Level or Equivalent,60-70%,0-35,N,60,0,Pass
55242,F,North Western Region,Lower Than A Level,30-40%,0-35,N,60,0,Fail
55419,M,South Region,A Level or Equivalent,90-100%,0-35,N,90,0,Withdrawn
55450,M,South East Region,A Level or Equivalent,30-40%,35-55,N,120,1,Fail
55968,F,Wales,Lower Than A Level,10-20,0-35,N,120,0,Fail
56340,F,South Region,Lower Than A Level,20-30%,0-35,N,60,0,Fail
56637,M,East Midlands Region,Lower Than A Level,50-60%,0-35,Y,90,0,Distinction
56667,M,Yorkshire Region,Lower Than A Level,40-50%,35-55,N,120,2,Fail
56789,F,South East Region,A Level or Equivalent,60-70%,35-55,N,60,1,Pass
57079,F,London Region,Lower Than A Level,30-40%,35-55,N,60,0,Fail
57227,F,North Western Region,Lower Than A Level,60-70%,0-35,N,160,1,Pass
57285,F,London Region,A Level or Equivalent,0-10%,0-35,N,60,0,Pass
57340,F,East Anglian Region,A Level or Equivalent,20-30%,0-35,N,120,0,Pass
57359,M,East Midlands Region,HE Qualification,40-50%,35-55,N,60,0,Withdrawn
57369,M,Ireland,Lower Than A Level,40-50%,35-55,N,60,0,Withdrawn
57506,M,South Region,Lower Than A Level,70-80%,35-55,N,60,0,Pass
57818,M,Wales,A Level or Equivalent,80-90%,35-55,N,60,0,Pass
57844,M,South West Region,A Level or Equivalent,90-100%,0-35,N,60,0,Pass
58071,M,East Anglian Region,HE Qualification,90-100%,55<=,N,60,0,Pass
58077,M,North Region,Lower Than A Level,20-30%,0-35,N,60,1,Fail
58089,F,West Midlands Region,A Level or Equivalent,40-50%,0-35,N,90,2,Fail
58221,M,East Midlands Region,Lower Than A Level,40-50%,0-35,N,120,0,Withdrawn
58316,F,Wales,A Level or Equivalent,70-80%,0-35,N,120,0,Pass
58520,F,South Region,A Level or Equivalent,50-60%,35-55,Y,120,0,Withdrawn
58549,M,North Region,A Level or Equivalent,Unknown,0-35,N,120,0,Distinction
58617,M,East Midlands Region,A Level or Equivalent,70-80%,0-35,N,60,0,Fail
58640,M,Scotland,A Level or Equivalent,50-60%,0-35,Y,90,0,Pass
58653,F,North Western Region,Lower Than A Level,80-90%,35-55,N,120,1,Pass
58731,F,South West Region,A Level or Equivalent,40-50%,0-35,Y,110,1,Pass
58873,F,East Anglian Region,A Level or Equivalent,20-30%,0-35,N,60,0,Pass
58884,M,South Region,A Level or Equivalent,40-50%,35-55,Y,90,0,Distinction
59185,M,East Anglian Region,Lower Than A Level,60-70%,35-55,N,60,0,Pass
59272,F,South East Region,Lower Than A Level,60-70%,0-35,N,60,0,Pass
59275,M,Scotland,HE Qualification,40-50%,0-35,N,60,0,Fail
59370,M,Ireland,A Level or Equivalent,0-10%,35-55,N,180,0,Pass
59541,M,East Anglian Region,A Level or Equivalent,40-50%,0-35,Y,30,0,Withdrawn
59725,F,Wales,HE Qualification,40-50%,35-55,N,120,0,Distinction
60135,F,West Midlands Region,A Level or Equivalent,Unknown,0-35,N,60,0,Pass
60162,F,London Region,A Level or Equivalent,30-40%,35-55,N,30,0,Pass
60405,F,Yorkshire Region,A Level or Equivalent,10-20,35-55,N,30,0,Distinction
60416,F,East Anglian Region,Lower Than A Level,60-70%,0-35,N,60,1,Pass
60519,F,London Region,A Level or Equivalent,0-10%,35-55,N,60,0,Withdrawn
60809,M,South East Region,Lower Than A Level,90-100%,0-35,N,120,0,Pass
60830,F,South Region,HE Qualification,60-70%,0-35,N,120,0,Pass
61118,F,London Region,A Level or Equivalent,20-30%,0-35,N,180,0,Withdrawn
61227,F,East Anglian Region,Lower Than A Level,80-90%,0-35,Y,30,0,Pass
61236,M,South West Region,HE Qualification,50-60%,35-55,N,110,0,Withdrawn
61297,F,East Midlands Region,No Formal quals,0-10%,0-35,N,180,0,Withdrawn
61352,F,Yorkshire Region,A Level or Equivalent,0-10%,0-35,N,60,2,Withdrawn
61911,M,Wales,Lower Than A Level,50-60%,0-35,N,180,0,Fail
62034,M,West Midlands Region,Lower Than A Level,50-60%,0-35,N,60,0,Pass
62155,F,North Western Region,HE Qualification,50-60%,0-35,N,60,0,Pass
62278,M,West Midlands Region,A Level or Equivalent,30-40%,0-35,N,40,0,Fail
62487,F,East Midlands Region,A Level or Equivalent,10-20,0-35,N,60,0,Pass
62631,F,North Western Region,A Level or Equivalent,20-30%,0-35,N,60,0,Fail
62975,M,South Region,Lower Than A Level,Unknown,35-55,N,30,0,Fail
63015,F,East Anglian Region,Lower Than A Level,70-80%,35-55,N,60,1,Fail
63044,F,London Region,Lower Than A Level,20-30%,0-35,N,120,1,Fail
63112,M,South East Region,Lower Than A Level,80-90%,35-55,N,60,0,Pass
63165,M,South East Region,A Level or Equivalent,80-90%,35-55,N,60,0,Pass
63295,M,South Region,HE Qualification,90-100%,35-55,N,150,0,Pass
63371,M,Ireland,Lower Than A Level,Unknown,0-35,N,30,0,Pass
63400,M,Scotland,Lower Than A Level,40-50%,35-55,N,60,0,Pass
63467,F,North Western Region,A Level or Equivalent,50-60%,35-55,N,120,0,Pass
63566,M,South East Region,HE Qualification,70-80%,55<=,N,120,0,Fail
63721,F,South East Region,Lower Than A Level,80-90%,0-35,Y,60,0,Distinction
63827,M,South West Region,Lower Than A Level,40-50%,0-35,N,60,1,Withdrawn
63856,M,Scotland,A Level or Equivalent,60-70%,35-55,N,60,1,Pass
63949,F,Ireland,Lower Than A Level,30-40%,0-35,N,30,0,Pass
63958,M,South Region,Lower Than A Level,10-20,0-35,N,60,0,Fail
64246,F,South East Region,Lower Than A Level,50-60%,35-55,N,120,0,Withdrawn
64275,F,West Midlands Region,Lower Than A Level,0-10%,0-35,Y,60,2,Pass
64296,M,Scotland,HE Qualification,20-30%,0-35,N,60,0,Fail
64388,M,East Midlands Region,Lower Than A Level,60-70%,0-35,N,120,0,Fail
64427,M,London Region,A Level or Equivalent,0-10%,0-35,N,60,0,Distinction
64450,M,West Midlands Region,Lower Than A Level,30-40%,0-35,N,120,1,Pass
64767,M,East Anglian Region,A Level or Equivalent,30-40%,35-55,N,60,0,Withdrawn
64777,M,North Western Region,Lower Than A Level,30-40%,0-35,Y,90,1,Withdrawn
64901,M,London Region,Lower Than A Level,10-20,35-55,N,30,0,Pass
65002,F,East Anglian Region,A Level or Equivalent,70-80%,0-35,N,60,1,Fail
65656,M,West Midlands Region,A Level or Equivalent,0-10%,35-55,N,150,0,Pass
65807,F,North Western Region,HE Qualification,10-20,0-35,N,180,2,Withdrawn
66047,F,North Western Region,HE Qualification,0-10%,0-35,Y,90,4,Withdrawn
66254,F,Ireland,A Level or Equivalent,Unknown,0-35,N,30,0,Fail
66451,M,Scotland,A Level or Equivalent,50-60%,0-35,N,60,0,Pass
66577,F,North Western Region,HE Qualification,10-20,0-35,N,60,1,Fail
66579,M,South Region,Lower Than A Level,40-50%,35-55,N,60,0,Fail
66713,M,South Region,A Level or Equivalent,90-100%,0-35,N,60,0,Pass
66892,M,London Region,A Level or Equivalent,20-30%,0-35,N,60,1,Withdrawn
67182,F,South Region,A Level or Equivalent,80-90%,35-55,N,30,0,Pass
67471,F,London Region,Lower Than A Level,20-30%,0-35,N,60,2,Pass
67505,F,North Region,A Level or Equivalent,Unknown,35-55,N,60,1,Fail
67539,M,Ireland,Lower Than A Level,10-20,0-35,N,60,0,Pass
67602,M,Ireland,Lower Than A Level,30-40%,0-35,N,60,1,Pass
67685,M,South Region,A Level or Equivalent,10-20,0-35,N,180,0,Pass
67781,F,South Region,A Level or Equivalent,20-30%,0-35,N,60,0,Distinction
67785,F,London Region,Lower Than A Level,20-30%,0-35,Y,120,0,Pass
67863,F,London Region,Lower Than A Level,10-20,35-55,N,60,1,Withdrawn
67986,F,Scotland,Lower Than A Level,80-90%,0-35,N,60,0,Withdrawn
68011,M,London Region,A Level or Equivalent,90-100%,0-35,N,180,0,Withdrawn
68107,F,London Region,A Level or Equivalent,50-60%,0-35,Y,60,0,Pass
68208,M,Scotland,HE Qualification,70-80%,35-55,N,270,2,Fail
68376,M,Yorkshire Region,HE Qualification,90-100%,0-35,N,60,0,Pass
68417,M,Scotland,Lower Than A Level,70-80%,0-35,N,60,0,Pass
68556,F,South East Region,HE Qualification,70-80%,0-35,N,60,0,Fail
69239,F,East Midlands Region,Lower Than A Level,50-60%,0-35,Y,90,0,Withdrawn
69346,M,London Region,A Level or Equivalent,30-40%,0-35,N,90,0,Withdrawn
69439,M,East Midlands Region,Lower Than A Level,80-90%,0-35,N,90,0,Withdrawn
69489,M,South West Region,Lower Than A Level,80-90%,0-35,N,150,2,Withdrawn
69491,F,East Anglian Region,Lower Than A Level,80-90%,0-35,N,60,4,Pass
69494,F,Yorkshire Region,No Formal quals,20-30%,0-35,N,150,1,Withdrawn
69703,M,Yorkshire Region,Lower Than A Level,20-30%,0-35,N,120,0,Pass
69843,F,South West Region,A Level or Equivalent,10-20,35-55,N,60,1,Withdrawn
70011,F,Scotland,HE Qualification,40-50%,0-35,N,60,0,Pass
70214,M,Wales,Lower Than A Level,70-80%,0-35,N,120,0,Pass
70381,M,Scotland,HE Qualification,30-40%,35-55,N,30,0,Pass
70464,F,West Midlands Region,A Level or Equivalent,60-70%,35-55,N,60,0,Pass
70495,M,Scotland,Lower Than A Level,50-60%,0-35,N,60,0,Distinction
70537,M,London Region,Lower Than A Level,10-20,35-55,N,120,0,Pass
70569,F,Wales,Lower Than A Level,0-10%,0-35,N,60,3,Pass
70608,F,South East Region,HE Qualification,70-80%,35-55,N,240,0,Distinction
70750,F,London Region,Lower Than A Level,50-60%,0-35,N,120,1,Withdrawn
70771,M,Scotland,HE Qualification,40-50%,0-35,N,60,0,Withdrawn
